order,header,nonempty_rows,fill_rate,unique_nonempty,top_values_sample,classification,note
1,商品コード（楽天URL）,262,1.0,262,4542320580542 (1) | 4560342331614 (1) | 4571216260480 (1),core_runtime_input,毎回入力またはGAS確定
2,楽天商品番号,48,0.1832,48,4542320580542 (1) | 4560342331614 (1) | 4571216260480 (1),optional,必要時のみ
3,カテゴリ,261,0.9962,33,|217199| (67) | |213291| (40) | |215917| (26),core_runtime_input,毎回入力またはGAS確定
4,商品名,262,1.0,262,粉末宇治抹茶  送料無料 訳あり  お茶 健康 ギフト プレゼント 200g 天然生活 抹茶 粉末 茶道 業務用 ギフト ダイエット 濃茶 大容量 パウダー 抹茶パウダー 製菓用 お菓子用 (1) | ベーキングパウダー 風と光 40g (10g×4) 送料無料 アルミフリー 無添加 小分け 業務用 (1) | プチフィナンシェ＆プチチョコ 1000円ポッキリ 送料無料 訳あり スイーツ  スイーツ 焼き菓子 洋菓子 ギフト プレゼント フィナンシェ 30個 天然生活 個包装 ギフト 詰め合わせ お菓子 チョコ 訳あり バター プチ 大容量 業務用 (1),core_runtime_input,毎回入力またはGAS確定
5,楽天ジャンルID,262,1.0,129,205261 (25) | 214282 (10) | 214204 (10),core_runtime_input,毎回入力またはGAS確定
6,非製品属性タグID,0,0.0,0,,unused,
7,yahooプロダクトカテゴリ,262,1.0,114,37873 (25) | 14395 (19) | 41458 (11),optional,必要時のみ
8,キャッチコピー,69,0.2634,69,油あげ、わかめ、あさり、しじみ風味の定番みそ汁4種！ (1) | ピリ辛スープが旨い！本場盛岡冷麺の喉ごしをご家庭で。 (1) | つるっしこっメチャ旨！本場香川の讃岐うどん6食分。 (1),runtime_input,商品ごとに必要度高い
9,モバイルキャッチコピー,0,0.0,0,,unused,
10,販売価格,262,1.0,91,1000 (32) | 1980 (14) | 870 (14),core_runtime_input,毎回入力またはGAS確定
11,消費税,262,1.0,1,1 (262),fixed_value,固定値運用向き
12,消費税率,184,0.7023,2,8 (147) | 10 (37),used_other,
13,軽減税率,262,1.0,2,1 (187) | 0 (75),control_or_optional,商品種別/運用ルールに応じて入力
14,表示価格,262,1.0,6,-2 (255) | 2480 (2) | 2980 (2),control_or_optional,商品種別/運用ルールに応じて入力
15,送料,262,1.0,2,1 (254) | 0 (8),control_or_optional,商品種別/運用ルールに応じて入力
16,個別送料,262,1.0,1,0 (262),fixed_value,固定値運用向き
17,置き配指定,0,0.0,0,,unused,
18,倉庫指定,262,1.0,2,0 (253) | 1 (9),control_or_optional,商品種別/運用ルールに応じて入力
19,JANコード,140,0.5344,138,4571374984457 (2) | 4932395525737 (2) | 4560342331614 (1),runtime_input,商品ごとに必要度高い
20,ソーシャルギフト,0,0.0,0,,unused,
21,PC用商品説明文,101,0.3855,101,"<table>
  <tr><th>■品名</th><td>宇治抹茶</td></tr>
  <tr><th>■原材料名</th><td>緑茶（国産）</td></tr>
  <tr><th>■内容量</th><td>200g</td></tr>
  <tr><th>■賞味期限</th><td>製造より常温180日(約60～180日弱賞味期限が残ったものでのお届けとなります）</td></tr>
  <tr><th>■保存方法</th><td>高温多湿を避け移り香に御注意下さい</td></tr>
  <tr><th>■販売者</th><td>株式会社天然生活<br>〒141-0032　東京都品川区大崎3-6-4　トキワビル7F</td></tr>
</table>
<hr>
<p>■良質　京都南山城産宇治茶100％使用<br>本格的な高級抹茶をお手軽に。<br><br>徳用京都南山城産宇治茶100％　粉末宇治抹茶<br>この宇治抹茶が・・・<br>生産農家様との直接交渉の末、<br>1杯あたり12円でご提供可能に！！<br>1袋200g入りなので・・・<br>1杯80mlあたり2g抹茶を使用した場合・・・・約100杯分<br>京都産茶葉を100％使用した上質な京都宇治抹茶がこの価格！！<br><br>徳用京都南山城産宇治茶100％粉末宇治抹茶<br>およそ100杯分。1杯あたり約12円でお楽しみ頂けます。<br><br>100杯入り1杯12円（特別ルート価格）1200円（税抜）<br><br>生産家の方と直接交渉でこの特別価格が可能に！！<br>お見逃しなく！！<br><br>■TVなどで話題！！海外でもブーム！！<br>日本の伝統的味　抹茶<br>ユネスコ無形文化遺産に登録され、世界でも注目を集めている<br>「和食」。その中でも、人気なのが「抹茶」。<br>美味しいのはもちろんのこと、美容や健康に良いスーパーフード<br>としても人気が高まっています。<br><br>■その抹茶の中でも人気の高いものと言えば・・・<br>「宇治茶」<br>宇治茶は商標登録されており「京都府・奈良県・滋賀県・三重県の<br>4府県産茶を京都府内業者が京都府内において宇治地域に由来する<br>製法により仕上げ加工した緑茶」としています。<br><br>■本品は100％京都府産茶葉使用！<br>京都府南山城村産<br>村域の約4分の3は山林で占められ、平地は少なく、急峻な山間部に位置<br>する南山城村を代表する特産品が「お茶」。全国的な品評会でも高い評価<br>を得るなど、宇治茶の主産地として知られるようになりました。品質の<br>良いお茶を生み出しているのは、お茶の栽培に適した気候と土壌。この<br>地域特有の香り高く良質な高級茶を育みます。<br>江戸時代、蒸した茶の芽を焙炉（ほいろ）で乾燥させ「手で揉む」煎茶の<br>製法（宇治茶製法）が開発され、宇治茶の素晴らしさが全国的に広まり、<br>煎茶の栽培が盛んになりました。南山城村の茶葉は新鮮な色合いと爽やかな<br>味と高い香り。14年連続で農林水産大臣賞を受賞する南山城村産の品質の<br>良さを証明しています。<br>南山城村では、村をあげて茶業を振興するほど、お茶に力を注いでいます！<br><br>■その南山城村の抹茶。<br>抹茶と粉末の緑茶は何が違うの？<br>粉末緑茶が煎茶の葉や粉茶（煎茶や玉露の仕上げの過程で生じる非常に細かい<br>茶葉）を粉砕し粉末状にしたものであるのに対し、抹茶はてん茶と呼ばれる葉を<br>粉砕加工したもの。てん茶は栽培時に覆いをすることにより、煎茶と比較して<br>渋み成分が抑えられ、より旨み成分や甘み成分が強いのが特徴です。<br><br>■茶葉の栄養をまるごと。<br>抹茶は茶葉をまるごと粉砕するので、お茶の栄養成分がそのまま入っています。<br>通常の浸出液（茶葉にお湯を注いだ、一般的にいう「お茶」のこと）ではお湯に<br>溶けずに茶殻に残ってしまう成分も抹茶として飲むことで余すことなく摂取する<br>ことができます。<br><br>■栄養を逃さない！！<br>ビタミン　ビタミンA、C、Eなど美容や健康に嬉しいビタミンがたくさん。<br>ミネラル　カリウム、カルシウム、鉄、ミネラルも豊富に含まれます。<br>カテキン　渋みに関わる成分。最近はダイエット等で注目されています。<br>テアニン　うま味や甘味に関わる成分。ホッと一息、リラックスしたい時に。<br>カフェイン　苦味に関わる成分。リフレッシュしたい時におすすめです。<br>食物繊維　不足しがちな食物繊維も手軽に摂取することができます。<br><br>京都府産の茶葉100％だから、茶葉以外の余計なものは入っていません！！<br>まるごと粉末にしているので、水に溶けない成分までしっかりと摂取できます。<br><br>■お飲みいただく際の目安<br>粉末抹茶2gに対してお湯80ml<br>あくまで目安ですので、お好みに合わせて抹茶やお湯の量を調節して下さい。<br><br>■粉末なので簡単に溶ける！！<br>ホットでもアイスでも美味しい。<br>※水では溶けにくいのでアイスでお飲みの場合は、少量のお湯で溶かしてから<br>水や氷を加えて下さい。<br>粒子が非常に細かいので、のどに残らずなめらかな舌触り。<br><br>■いろいろご利用下さい。<br>抹茶オレ　牛乳と合わせてお子様でも飲みやすい。<br>抹茶アイス　アイスに抹茶を好きなだけかけて。<br><br>飲用として使うのはもちろん、製菓用、料理用と幅広い用途でご利用いただけます！！<br>ホッと一息。<br>お一人でもご家族やご友人とでもホッと一息つきたい時におすすめです！！<br><br>■どうして徳用なの？お安くご提供ができる理由。<br>?通常（一般的な商品）<br>生産農家⇒農協⇒原料問屋⇒加工会社⇒問屋⇒販社⇒消費者<br>?こちらの商品<br>生産農家⇒⇒⇒⇒⇒⇒⇒⇒⇒加工会社⇒問屋⇒販社⇒消費者<br><br>農協を通さず、生産農家さんから直接茶葉を仕入れることで、通常かかるコストをカット！！<br>安くなった分お客様へ還元！！<br>是非お見逃しなく！！</p> (1) | <p>個包装で配りやすく、ギフトにも最適なプチサイズのバター香るフィナンシェ＆ショコラ30個入り。</p> <hr> <table> <tr><th>■商品名</th><td>フィナンシェ15個ショコラフィナンシェ15個</td></tr> <tr><th>■名称</th><td>菓子</td></tr> <tr><th>■原材料名</th><td>【フィナンシェ】液卵白（国内製造）、グラニュー糖、マーガリン、小麦粉、アーモンドパウダー、コーンスターチ、麦芽糖、還元水飴、食用植物油脂／加工でん粉、膨張剤、乳化剤、香料、着色料（カロテン）、（一部に小麦・卵・乳成分・アーモンド・大豆を含む）<br>【ショコラ】グラニュー糖（国内製造）、液卵白、マーガリン、小麦粉、アーモンドパウダー、コーンスターチ、準チョコレート、麦芽糖、還元水飴、食用植物油脂／加工でん粉、膨張剤、乳化剤、香料、着色料（カロテン）、（一部に小麦・卵・乳成分・アーモンド・大豆を含む）</td></tr> <tr><th>■内容量</th><td>フィナンシェ15個ショコラ15個</td></tr> <tr><th>■賞味期限</th><td>製造日より常温90日（約30日～90日弱賞味期限が残ったものでのお届けとなります）</td></tr> <tr><th>■保存方法</th><td>直射日光、高温多湿の所を避けて保存</td></tr> <tr><th>■販売者</th><td>株式会社天然生活<br>〒141-0032　東京都品川区大崎3-6-4　トキワビル7F</td></tr> <tr><th>■栄養成分表示(100g当たり)</th><td>【フィナンシェ】<br>エネルギー：459kcal<br>たんぱく質：6.3g<br>脂質：28.2g<br>炭水化物：45.0g<br>食塩相当量：0.3ｇ<br>【ショコラ】<br>エネルギー：447kcal<br>たんぱく質：5.9g<br>脂質：25.9g<br>炭水化物：48.7g<br>食塩相当量：0.3ｇ<br>この表示値は目安です</td></tr> </table> <hr> <p>■大人気定番洋菓子フィナンシェ<br>嬉しい2つの味。<br>チョコ＆プレーン</p> <p>■しっとり美味しい!!<br>2つの味が楽しめる一口サイズのフィナンシェ。<br>欲張りセット<br>プチフィナンシェ＆チョコフィナンシェ</p> <p>■どっさり!!<br>簡易包装<br>大容量30個<br>嬉しい個包装<br>プチフィナンシェ15個＆プチチョコフィナンシェ15個</p> <p>■フィナンシェとは？Financier<br>フランスの焼き菓子で、フランス語で「資産家」という意味があり、数々の大富豪からも愛されました。<br>四角い形は「金塊」をイメージしているんだとか。バターとアーモンドの風味が特徴的です。</p> <p>・プチフィナンシェ<br>洋菓子の定番と言えばコレ！素材の美味しさをそのまま感じることができるプレーン♪<br>良質な原材料を使用し。サックリ混ぜ合わせることで食感もよく焼き上げました!!</p> <p>・プチチョコフィナンシェ<br>アーモンドプードルとカカオペーストを使用し、アーモンドの香りとチョコの風味がたまらないフィナンシェに!!<br>甘さ控えめで重たくなくサックリと焼き上げました！チョコ好きの方にもおすすめです。</p> <p>■昭和55年より、多くのお客様に愛される半生菓子店が製造!!<br>国内の工場にて丁寧に一つ一つ作られています。<br>原材料一つ一つ良質なものを使用し、サックリ混ぜ合わせることで食感もよく焼き上げました。<br>小さなお子様からご年配の方まで安心してお召し上がりいただけます。</p> <p>■食べやすい大きさがうれしい「プチ」サイズ!!<br>個包装だから、おやつはもちろん、お出かけする際やみんなが集まるパーティーなどにも便利♪<br>かる～い食感とかわいいサイズ感でついついもう1個食べたくなる!!<br>皆様でお召し上がりください。</p> <p>※開封後はお早めにお召し上がり下さい。<br>※お得にお届けをする為の簡易包装による梱包なので、お届け時に<br>若干の潰れや割れ、欠けなどが含まれる場合もございますが、予めご了承下さい。</p> (1) | <p><b>商品名</b><br>乾燥食肉製品</p>

<p><b>商品情報</b></p>
<table border=""1"" cellspacing=""0"" cellpadding=""6"">
  <tr><th>名称</th><td>ドライソーセージ</td></tr>
  <tr><th>原材料名</th><td>鶏肉（国産）、豚脂肪、豚肉、粉末水あめ、香辛料、食塩、ポークエキス/調味料(アミノ酸等)、リン酸塩(Na)、酸化防止剤(ビタミンC)、発色剤(硝酸K、亜硝酸Na)、香辛料抽出物、(一部に鶏肉・豚肉・大豆を含む)</td></tr>
  <tr><th>内容量</th><td>500g</td></tr>
  <tr><th>賞味期限</th><td>製造より常温120日 (約40日～120日弱賞味期限が残ったものでのお届けとなります)</td></tr>
  <tr><th>保存方法</th><td>直射日光および高温多湿を避け、常温で保存してください。</td></tr>
  <tr><th>販売者</th><td>株式会社天然生活<br>〒141-0032　東京都品川区大崎3-6-4　トキワビル7F</td></tr>
</table>

<p><b>栄養成分表示 (100gあたり)</b></p>
<table border=""1"" cellspacing=""0"" cellpadding=""6"">
  <tr><th>エネルギー</th><td>544kcal</td></tr>
  <tr><th>たんぱく質</th><td>20.6g</td></tr>
  <tr><th>脂質</th><td>47.0g</td></tr>
  <tr><th>炭水化物</th><td>9.7g</td></tr>
  <tr><th>食塩相当量</th><td>3.3g</td></tr>
  <tr><td colspan=""2"">※この表示値は目安です。</td></tr>
</table>

<p>●温度条件により表面に脂肪等が浮き出る場合がございますが品質に異常はありませんので安心してお召し上がりください。</p> (1)",runtime_input,商品ごとに必要度高い
22,PC用商品説明文改行,262,1.0,2,0 (261) | 1 (1),fixed_value,固定値運用向き
23,モバイル用商品説明文,0,0.0,0,,unused,
24,モバイル用商品説明文改行,262,1.0,1,0 (262),fixed_value,固定値運用向き
25,スマートフォン用商品説明文,88,0.3359,87,"<!--ECMPAN--><a href=""https://search.rakuten.co.jp/search/mall/%E5%92%8C%E8%8F%93%E5%AD%90/?sid=431896"">おすすめ和菓子</a> ＞ <a href=""https://search.rakuten.co.jp/search/mall/%E3%81%AE%E3%81%A9%E9%A3%B4/?sid=431896"">おすすめのど飴</a><br><br><!--/ECMPAN--> (2) | <!--ECMPAN--><a href=""https://search.rakuten.co.jp/search/mall/%E5%92%8C%E8%8F%93%E5%AD%90/?sid=431896"">おすすめ和菓子</a> ＞ <a href=""https://search.rakuten.co.jp/search/mall/%E7%90%A5%E7%8F%80%E7%B3%96/?sid=431896"">おすすめ琥珀糖</a><br><br><!--/ECMPAN--><p><b>宝石みたいな輝きとシャリぷる食感！</b><br>
ぼんぽ庵の「果実の琥珀糖」は、外はシャリッと中はぷるん。カラフルで<br>
まるで食べる宝石。母の日ギフトやおしゃれなお茶請けにぴったりです。</p>

<p>
●宝石みたいにかわいいカラフル琥珀糖<br>
●果実フレーバーで爽やかな甘さ<br>
●訳ありお徳用たっぷりサイズ<br>
●母の日・プチギフト・自分へのご褒美に<br>
●琥珀糖グミ感覚の新しいスイーツ<br>
</p>

<hr>

<table>
<tr><th>商品名</th><td>ぼんぽ庵 果実の琥珀糖</td></tr>
<tr><th>内容量</th><td>訳ありお徳用</td></tr>
<tr><th>原材料</th><td>砂糖（国内製造）、寒天、果汁パウダー／着色料（ビートレッド、ウコン）、香料</td></tr>
<tr><th>賞味期限</th><td>製造日より60日</td></tr>
<tr><th>保存方法</th><td>直射日光・高温多湿を避け常温保存</td></tr>
<tr><th>配送方法</th><td>常温便</td></tr>
<tr><th>JANコード</th><td>なし</td></tr>
</table>

<p>
■お召し上がり方<br>
●そのままはもちろん、紅茶やアイスのトッピングにもおすすめ。<br>
●冷蔵庫で軽く冷やすと、よりシャリッとした食感に。<br>
</p>

<p>
■ご注意<br>
●手作りのため形や大きさにばらつきがあります。<br>
●開封後はお早めにお召し上がりください。<br>
</p>

<hr>

<p>
<a href=""#top"">▲ページトップへ戻る</a>
</p> (1) | <p><b>こだわり素材でベーキングが変わる！</b></p>
<hr>
●アルミフリー・無添加で安心<br>
●40gの小分けパックで使いやすい<br>
●業務用品質を家庭で再現<br>
●パン・ケーキ・お菓子作りに万能<br>
●JANコード：4560342331614<br>
<hr>
<table>
<tr><th>商品名</th><td>風と光 ベーキングパウダー 40g</td></tr>
<tr><th>キーワード</th><td>ベーキングパウダー アルミフリー 無添加 小分け 業務用</td></tr>
<tr><th>内容量</th><td>40g</td></tr>
<tr><th>原材料</th><td>炭酸水素ナトリウム、酒石酸、コーンスターチ</td></tr>
<tr><th>JANコード</th><td>4560342331614</td></tr>
<tr><th>保存方法</th><td>直射日光・高温多湿を避け常温保存</td></tr>
</table>
<p>
●使い切りやすい40gで、いつでも新鮮な膨らみを実感。<br>
●アルミニウム不使用だから、ベビーやキッズのおやつにもおすすめ。<br>
●プロのベーカリーでも採用される品質をご家庭に。<br>
●ノンアルミ・無添加にこだわる風と光ブランドの自信作です。<br>
</p> (1)",runtime_input,商品ごとに必要度高い
26,スマートフォン用商品説明文改行,262,1.0,2,0 (261) | 1 (1),fixed_value,固定値運用向き
27,PC用販売説明文,0,0.0,0,,unused,
28,PC用販売説明文改行,262,1.0,2,0 (261) | 1 (1),fixed_value,固定値運用向き
29,画像1,260,0.9924,258,http://r-asp02.item-robot.com/upload/images/1681/kohakutou/3.png (2) | http://r-asp02.item-robot.com/upload/images/1681/11348368/11386679/imgrc0101259612.jpg (2) | http://r-asp02.item-robot.com/upload/images/1681/yupacket/snc00010181/snc00010181-item1.jpg (1),image_url,商品ごとに必要。固定命名からGAS生成可
30,画像2,254,0.9695,245,http://r-asp02.item-robot.com/upload/images/1681/sanriojerry/2.png (3) | http://r-asp02.item-robot.com/upload/images/1681/11348368/11386679/sm00011009_01.jpg (2) | http://r-asp02.item-robot.com/upload/images/1681/daikon/sub1.png (2),image_url,商品ごとに必要。固定命名からGAS生成可
31,画像3,252,0.9618,245,http://r-asp02.item-robot.com/upload/images/1681/sanriojerry/3.png (3) | http://r-asp02.item-robot.com/upload/images/1681/11348368/11386679/sm00011009_02.jpg (2) | http://r-asp02.item-robot.com/upload/images/1681/daikon/sub2.png (2),image_url,商品ごとに必要。固定命名からGAS生成可
32,画像4,244,0.9313,236,http://r-asp02.item-robot.com/upload/images/1681/sanriojerry/4.png (3) | http://r-asp02.item-robot.com/upload/images/1681/kohakutou/4.png (2) | http://r-asp02.item-robot.com/upload/images/1681/11348368/11449608/imgrc0101601152.jpg (2),image_url,商品ごとに必要。固定命名からGAS生成可
33,画像5,217,0.8282,210,http://r-asp02.item-robot.com/upload/images/1681/sanriojerry/5.png (3) | http://r-asp02.item-robot.com/upload/images/1681/11348368/11386679/sm00011009_05.jpg (2) | http://r-asp02.item-robot.com/upload/images/1681/haginoshio/5.png (2),image_url,商品ごとに必要。固定命名からGAS生成可
34,画像6,181,0.6908,174,http://r-asp02.item-robot.com/upload/images/1681/sanrio/6.png (3) | http://r-asp02.item-robot.com/upload/images/1681/kohakutou/7.png (2) | http://r-asp02.item-robot.com/upload/images/1681/chocoegg/chocoegg/5.png (2),image_url,商品ごとに必要。固定命名からGAS生成可
35,画像7,162,0.6183,139,http://r-asp02.item-robot.com/upload/images/1681/default/attentio.jpg (20) | http://r-asp02.item-robot.com/upload/images/1681/haginoshio/10.png (2) | http://r-asp02.item-robot.com/upload/images/1681/kohakutou/8.png (2),image_url,商品ごとに必要。固定命名からGAS生成可
36,画像8,97,0.3702,52,http://r-asp02.item-robot.com/upload/images/1681/default/attentio.jpg (42) | http://r-asp02.item-robot.com/upload/images/1681/kohakutou/9.png (2) | http://r-asp02.item-robot.com/upload/images/1681/countdowncalendar/6.png (2),image_url,商品ごとに必要。固定命名からGAS生成可
